1	NAYAGAN 87 %	Nayagan Director: Mani Ratnam Composer: Ilaiyaraja Cast: Kamal Haasan, Saranya Ponvannan, Janagaraj Plot: Story of Velu Nayakan, who witnesses the brutal murder of his father, kills a corrupt cop and escapes to Mumbai only to become a gangster. It ends with his own assassination at the hands of a lunatic.
2	THEVAR MAGAN 83 %	Thevar Magan Director: Bharathan Composer: Ilaiyaraja Cast: Kamal Haasan, Vadivelu , Nassar , Sivaji Ganesan, Gouthami Tadimalla, Revathi Plot: The urbane son of a village chieftain struggles between his personal aspirations and that of his father.
3	MOUNA RAAGAM 83 %	Mouna Raagam Director: Mani Ratnam Composer: Ilaiyaraja Cast: Karthik Muthuraman, Revathi , Mohan Rao Plot: Divya, a woman grieving over the death of her lover, is convinced into an arranged marriage with Chandra Kumar. Over a year the couple attempt to adjust to each other's presence and live with each other.
4	KAADHAL 82 %	Kaadhal Director: Balaji Shakthivel Composer: Joshua Sridhar Cast: Bharath , Sandhya Plot: Not Available
5	MULLUM MALARUM 82 %	Mullum Malarum Director: Mahendran J Composer: Ilaiyaraja Cast: Rajinikanth , Sarath Babu, Phataphat Jayalaxmi, Shobha Plot: A rude villager butts heads with a newly appointed engineer who is from the city.
6	Moondram Pirai 82 %	Moondram Pirai Director: Balu Mahendra Composer: Ilaiyaraja Cast: Kamal Haasan, Sridevi Kapoor Plot: A young woman regresses to childhood after suffering a head injury in a car crash. Lost, she ends up trapped at a brothel before being rescued by a school teacher who starts to fall in love with her.
7	ROJA 82 %	Roja Director: Mani Ratnam Composer: A.r. Rahman Cast: Arvind Swamy Plot: Roja lives in a Tamil village, and her sister is about to marry a man from the city, who decides to marry Roja instead and gets a job assignment in Kashmir, where some militants decide to kidnap them.
8	ANJAATHEY 81 %	Anjaathey Director: Myshkin Composer: Sundar Babu Cast: Prasanna , Vijayalakshmi Ahathian, Narain , Ajmal Ameer Plot: Estrangement between friends - its cause and effect.
9	SUBRAMANYAPURAM 80 %	Subramanyapuram Director: Sasikumar M Composer: James Vasanthan Cast: Jai , Swathi Reddy, Sasikumar M Plot: Influenced by avaricious, small time politicians, a group of gullible young men go astray. The results prove disastrous.
10	MAHANADI 80 %	Mahanadi Director: Santhana Bharathi Composer: Ilaiyaraja Cast: Kamal Haasan, Sukanya , Poornam Vishwanathan Plot: The hero tries to get his family back in shape after a stint in jail.
11	APOORVA SAGODHARARGAL 80 %	Apoorva Sagodharargal Director: Singeetham Rao Composer: Ilaiyaraja Cast: Kamal Haasan, Nagesh , Manorama , Srividya , Gouthami Tadimalla Plot: Two brothers separated at birth meet as adults and take revenge on the people responsible for their separation.
12	Vazhakku En 18/9 80 %	Vazhakku En 18/9 Director: Balaji Shakthivel Composer: R Prasanna Cast: Plot: It deals with the teenage love story along with a parallel crime scene investigation of a boy who happens to be accused for a murder.
13	Kaaka Muttai 80 %	Kaaka Muttai Director: Manikandan Composer: G.v. Prakash Kumar Cast: Ramesh Thilaganathan, Vignesh J, Aishwarya Rajesh, Babu Antony, Silambarasan Rajendar, Yogi Babu Plot: Two kids from a slum yearn to have a slice of Pizza from a recently opened eat-out in their neighbourhood.
14	Visaranai 80 %	Visaranai Director: Vetrimaaran Composer: G.v. Prakash Kumar Cast: Dinesh , Samudrakani , Aadukalam Murugadoss, Anandhi, Kishore Plot: Visaranai is a 2015 Indian Tamil language thriller film written and directed by Vetrimaaran and based on the novel Lock Up by M. Chandra Kumar. The film deals with police brutality, corruption, and loss of innocence in the face of injustice.
15	PITHAMAGAN 79 %	Pithamagan Director: Bala Composer: Ilaiyaraja Cast: Suriya Sivakumar, Vikram , Sangeetha Krish, Laila Mehdin Plot: A boy raised in a cemetery grows up with no social skills, and leads a turbulent life readjusting once he moves out of the cemetery.
16	AADUKALAM 79 %	Aadukalam Director: Vetrimaaran Composer: G.v. Prakash Kumar Cast: Dhanush , Taapsee Pannu, Kishore Plot: In a village in South India, rearing roosters, maintaining them and using them for fights are a way of life and a matter of honor and lifeline to many people. A tale of such people.
17	ANGADI THERU 78 %	Angadi Theru Director: Vasanthabalan Composer: Vijay Antony Cast: Anjali , Mahesh Plot: The agony of the have-nots and the apathy of the well-to-do.
18	KAAKHA KAAKHA 78 %	Kaakha Kaakha Director: Gautham Menon Composer: Harris Jayaraj Cast: Suriya Sivakumar, Jyotika Saravanan Plot: Anti-terrorist squad officers balance personal lives with a hunt for a reckless criminal.
19	PARUTHIVEERAN 78 %	Paruthiveeran Director: Ameer Sultan Composer: Yuvan Shankar Raja Cast: Karthik Sivakumar, Priyamani , Saravanan Plot: When villagers go berserk ...
20	THAVAMAI THAVAMIRUNDHU 78 %	Thavamai Thavamirundhu Director: Cheran Composer: Sabesh Murali Cast: Raj Kiran, Cheran , Padmapriya Janakiraman, Saranya Ponvannan Plot: Not Available
21	16 VAYATHINILE 78 %	16 Vayathinile Director: Bharathiraja Composer: Ilaiyaraja Cast: Rajinikanth , Kamal Haasan, Goundamani , Sridevi Kapoor Plot: Not Available
22	AARANYA KAANDAM 78 %	Aaranya Kaandam Director: Thiagarajan Kumararaja Composer: Yuvan Shankar Raja Cast: Ravi Krishna, Jackie Shroff, Sampath Raj, Yasmin Ponnappa Plot: A drama that unfolds between two rival mafia gangs when a bag of cocaine gets stolen by two innocent people.
23	Endhiran 77 %	Endhiran Director: Shankar S Composer: A.r. Rahman Cast: Rajinikanth , Aishwarya Bachchan, Danny Denzongpa, Santhanam , Karunas Plot: A gifted scientist constructs an equally gifted robot, who sets out into the world for the first time with some unexpected and mind-blowing consequences.
